title_ru,title_en,rating_filmru,rating_users,rating_imdb,url
Scandal: The Secret Is Out,Scandal: The Secret Is Out,,,8.5,https://www.film.ru/movies/scandal-secret-out
Усаги Сан,Usagi-san,,,8.5,https://www.film.ru/movies/usagi-san
Пять врачей,The Five(ish) Doctors Reboot,,6.7,8.5,https://www.film.ru/movies/the-five-ish-doctors-reboot
Би и Паппикэт,Bee and Puppycat,,7.1,8.5,https://www.film.ru/movies/bi-i-pappiket
Линар,2013,,,8.4,https://www.film.ru/movies/linar
Путь волшебника,Wizard's Way,,6.8,8.4,https://www.film.ru/movies/wizard-s-way
Брюс Уиллис: Почему легенда не умрет никогда,Bruce Willis: Why the Legend Never Dies,,6.7,8.4,https://www.film.ru/movies/bryus-uillis-pochemu-legenda-ne-umret-nikogda
Пингвины: Шпион в толпе,Penguins: Spy in the Huddle,,6.8,8.4,https://www.film.ru/movies/pingviny-shpion-v-tolpe
Освоение ограничений,Exploration of Confinement,,6.3,8.4,https://www.film.ru/movies/osvoenie-ogranicheniy
Цвет нации,2013,,6.5,8.3,https://www.film.ru/movies/cvet-nacii
Ричард II,Royal Shakespeare Company - Richard II,,7.2,8.3,https://www.film.ru/movies/richard-ii-2
Гинтама 2,銀魂 完結篇 万事屋よ永遠なれ,,6.6,8.3,https://www.film.ru/movies/gintama-2
Тибурон,Tiburon,,,8.3,https://www.film.ru/movies/tiburon
Уличные псы Южного централа,Street Dogs of South Central,,6.2,8.3,https://www.film.ru/movies/ulichnye-psy-yuzhnogo-centrala
